date,product,category,quantity,price,revenue,region,customer_type
2024-01-15,Laptop,Electronics,5,999.99,4999.95,North,Business
2024-01-16,Mouse,Electronics,20,29.99,599.80,South,Consumer
2024-01-17,Keyboard,Electronics,15,79.99,1199.85,East,Consumer
2024-01-18,Monitor,Electronics,8,299.99,2399.92,West,Business
2024-01-19,Desk,Furniture,3,449.99,1349.97,North,Business
2024-01-20,Chair,Furniture,10,199.99,1999.90,South,Consumer
2024-01-21,Lamp,Furniture,25,39.99,999.75,East,Consumer
2024-01-22,Laptop,Electronics,7,999.99,6999.93,West,Business
2024-01-23,Mouse,Electronics,30,29.99,899.70,North,Consumer
2024-01-24,Keyboard,Electronics,12,79.99,959.88,South,Business
2024-01-25,Monitor,Electronics,6,299.99,1799.94,East,Consumer
2024-01-26,Desk,Furniture,4,449.99,1799.96,West,Business
2024-01-27,Chair,Furniture,8,199.99,1599.92,North,Consumer
2024-01-28,Lamp,Furniture,18,39.99,719.82,South,Consumer
2024-01-29,Laptop,Electronics,9,999.99,8999.91,East,Business
2024-01-30,Mouse,Electronics,22,29.99,659.78,West,Consumer
2024-01-31,Keyboard,Electronics,14,79.99,1119.86,North,Business
2024-02-01,Monitor,Electronics,5,299.99,1499.95,South,Consumer
2024-02-02,Desk,Furniture,2,449.99,899.98,East,Business
2024-02-03,Chair,Furniture,11,199.99,2199.89,West,Consumer
